STATEFIPS,STATE,ZIPCODE,TotalReturns,AdjustGrossIncome,SalariesWages,NetIncome
1,AL,0,2059967,100728413,73417730,2961370
1,AL,35004,4844,246193,204103,6541
1,AL,35005,3440,129870,107143,1412
1,AL,35006,1298,57386,46566,877
1,AL,35007,11768,618472,507778,18552
1,AL,35010,8941,360198,263085,11160
1,AL,35014,1651,65142,51706,763
1,AL,35016,7050,322013,237748,11979
1,AL,35019,864,32384,25486,1196
1,AL,35020,10774,270923,226138,7383
1,AL,35022,9356,493321,398977,8512
1,AL,35023,10417,464497,368014,7869
1,AL,35031,2981,105121,84368,4403
1,AL,35033,1318,58063,46088,1587
1,AL,35034,1491,48976,39132,995
1,AL,35035,584,27305,18699,593
1,AL,35040,6929,339296,281690,7183
1,AL,35042,2181,91880,73996,2033
1,AL,35043,4180,305430,237805,9842
1,AL,35044,3225,122784,93213,3807
1,AL,35045,5566,222126,170281,7131
1,AL,35046,2596,116660,85636,4201
1,AL,35049,1555,68086,56073,1602
1,AL,35051,3364,178058,125077,6044
1,AL,35053,1009,55768,34683,1739
1,AL,35054,1735,96362,63393,2124
1,AL,35055,7695,339404,247127,13683
1,AL,35057,4994,223730,169127,8946
1,AL,35058,4126,181819,139910,5838
1,AL,35061,648,21872,18085,125
1,AL,35062,3272,159598,127767,3638
1,AL,35063,1200,48562,37709,996
1,AL,35064,4903,159461,126958,2981
1,AL,35068,3467,149445,121064,2822
1,AL,35071,7141,394446,297537,9371
1,AL,35072,1880,64073,52543,1500
1,AL,35073,1022,37337,28794,817
1,AL,35077,5052,188570,148261,5162
1,AL,35078,865,38282,28565,1039
1,AL,35079,3443,166131,130998,3685
1,AL,35080,6876,442327,374061,10536
1,AL,35083,1233,45829,36429,1650
1,AL,35085,3534,138997,114852,4051
1,AL,35087,826,30111,22919,1234
1,AL,35089,774,22465,18619,468
1,AL,35091,1062,66224,56802,883
1,AL,35094,6436,315805,232375,10784
1,AL,35096,3234,141210,111150,2899
1,AL,35097,802,34270,27498,1213
1,AL,35098,544,20677,16657,777
1,AL,35111,6652,395122,313081,9253
1,AL,35114,2723,165723,137057,5187
1,AL,35115,5099,206959,157087,7256
1,AL,35116,1955,106541,81288,2550
1,AL,35117,2652,150323,119984,2961
1,AL,35118,1424,63583,47837,1342
1,AL,35120,5723,266093,226483,5390
1,AL,35121,5999,268038,192816,9835
1,AL,35124,11236,733620,546364,25804
1,AL,35125,4306,172297,131524,5580
1,AL,35126,9512,491690,385331,12331
1,AL,35127,4229,208179,167785,2456
1,AL,35128,3984,201454,148952,5991
1,AL,35130,1222,51019,39637,1012
1,AL,35131,1544,56335,46913,904
1,AL,35133,1600,68063,53786,2161
1,AL,35135,802,39540,30202,542
1,AL,35136,691,27618,21230,254
1,AL,35143,1211,55246,38133,1723
1,AL,35146,4138,227049,176032,7613
1,AL,35147,2148,155388,113572,3595
1,AL,35148,1177,47435,35767,1328
1,AL,35150,7390,280355,213771,8174
1,AL,35151,2897,124616,99303,2499
1,AL,35160,9846,353419,273336,8116
1,AL,35171,1395,62729,51317,1831
1,AL,35172,1173,44788,36148,1139
1,AL,35173,11794,858438,658091,25394
1,AL,35175,2184,115370,79592,2862
1,AL,35176,375,13297,10177,396
1,AL,35178,1452,61575,44715,1392
1,AL,35179,3755,157598,127370,4794
1,AL,35180,5589,286478,224621,6837
1,AL,35183,284,11698,9019,106
1,AL,35184,2073,83359,69260,1705
1,AL,35186,1915,110286,81532,2836
1,AL,35188,1125,56188,48694,967
1,AL,35203,1419,114644,60682,5098
1,AL,35204,4170,96189,76718,3616
1,AL,35205,8341,379158,272706,13712
1,AL,35206,7161,202535,167564,6051
1,AL,35207,3758,89363,72937,2507
1,AL,35208,6878,180844,150198,3916
1,AL,35209,12578,842692,583482,31036
1,AL,35210,6649,328352,238763,10183
1,AL,35211,11762,320674,255783,9115
1,AL,35212,5463,162613,138250,6951
1,AL,35213,6769,1167312,565786,39412
1,AL,35214,8710,308759,239709,2663
1,AL,35215,20434,665028,561433,10472
1,AL,35216,17188,1200421,809478,51994
1,AL,35217,5850,170496,136782,4365
1,AL,35218,3146,72050,61637,2346
1,AL,35221,2116,52852,43663,1109
1,AL,35222,3912,255560,181140,11425
1,AL,35223,5221,1236859,542820,40840
1,AL,35224,2464,67289,56436,1894
1,AL,35226,15249,1279821,924296,51877
1,AL,35228,4833,134942,114783,1994
1,AL,35233,569,27959,22057,483
1,AL,35234,2398,52084,43170,1706
1,AL,35235,9227,383416,309121,5015
1,AL,35242,23862,2645715,1784097,105989
1,AL,35243,9266,1065841,640295,42577
1,AL,35244,15361,1341273,984928,49396
1,AL,35401,10102,310647,218580,8097
1,AL,35404,7629,280451,212835,6131
1,AL,35405,17419,785317,616303,13129
1,AL,35406,6149,707058,398860,24992
1,AL,35441,468,16802,14111,127
1,AL,35442,2048,65409,48024,2452
1,AL,35443,755,20320,14912,439
1,AL,35444,1531,76742,59527,1054
1,AL,35446,759,31874,25563,569
1,AL,35447,1388,47490,37783,1116
1,AL,35452,1552,72758,57132,631
1,AL,35453,4726,208357,165121,4354
1,AL,35456,1750,73079,56489,1315
1,AL,35458,234,9467,7440,70
1,AL,35459,354,10875,7880,428
1,AL,35460,226,6109,5266,62
1,AL,35461,764,29754,22799,695
1,AL,35462,2066,64000,46222,899
1,AL,35463,765,31617,26148,558
1,AL,35464,240,5121,3737,112
1,AL,35466,2285,96192,77711,1974
1,AL,35469,132,4737,3586,39
1,AL,35470,1956,71195,55774,599
1,AL,35473,6792,348199,254322,9158
1,AL,35474,2705,117517,96098,2063
1,AL,35475,6250,444243,319987,10294
1,AL,35476,3984,136790,105799,3848
1,AL,35480,609,29873,24793,219
1,AL,35481,1373,49003,37161,820
1,AL,35490,1684,82311,69680,1157
1,AL,35501,3882,152162,110576,4588
1,AL,35503,3339,146001,113121,4473
1,AL,35504,5153,292150,214499,9012
1,AL,35540,948,33323,26347,1866
1,AL,35541,1250,62477,42716,2860
1,AL,35542,401,16328,13541,335
1,AL,35543,378,11988,9130,598
1,AL,35544,239,8453,6830,127
1,AL,35546,1440,58500,48509,1668
1,AL,35548,606,20358,15975,1020
1,AL,35549,1435,50943,39965,1183
1,AL,35550,1985,77746,61364,1737
1,AL,35552,347,11975,9499,272
1,AL,35553,1717,61473,45596,2143
1,AL,35554,413,17470,14771,338
1,AL,35555,3779,147237,111570,5375
1,AL,35563,1561,63032,47029,1816
1,AL,35564,785,24409,19984,597
1,AL,35565,4895,181919,136328,8300
1,AL,35570,4009,149505,109658,6137
1,AL,35571,326,12172,9615,198
1,AL,35572,356,14500,10205,413
1,AL,35574,567,23159,19047,185
1,AL,35575,384,14696,12411,196
1,AL,35576,1155,46217,35561,1336
1,AL,35578,1900,71253,57285,2327
1,AL,35579,1187,47472,37144,1017
1,AL,35580,1463,63482,50436,1227
1,AL,35581,1884,66823,52319,2455
1,AL,35582,1748,83386,55244,1768
1,AL,35585,606,25832,19376,675
1,AL,35586,1630,59155,46732,1534
1,AL,35587,339,13760,10640,248
1,AL,35592,1751,66432,50826,2206
1,AL,35593,676,24887,21164,493
1,AL,35594,2880,126880,97384,3489
1,AL,35601,15332,598391,421098,18045
1,AL,35603,13645,819674,567984,19518
1,AL,35610,757,31025,24635,605
1,AL,35611,10404,430829,319263,12231
1,AL,35613,8377,561256,419761,13977
1,AL,35614,2998,122162,93673,3473
1,AL,35616,1501,57755,43192,1206
1,AL,35618,848,33655,24449,391
1,AL,35619,2107,86564,67897,2676
1,AL,35620,3577,157419,124444,4302
1,AL,35621,1141,47739,39612,1097
1,AL,35622,2672,106063,85112,3050
1,AL,35630,12795,484581,320042,22535
1,AL,35633,8446,406280,293758,15466
1,AL,35634,4428,286308,178758,12951
1,AL,35640,10601,514398,401619,11436
1,AL,35643,1372,48539,37731,1316
1,AL,35645,5577,315002,232263,13333
1,AL,35646,1952,79918,57274,2114
1,AL,35647,416,17620,13193,257
1,AL,35648,1525,66212,53165,1983
1,AL,35650,5397,235240,178750,8228
1,AL,35651,440,16896,13989,209
1,AL,35652,3357,159058,117762,4573
1,AL,35653,5280,191121,148077,8495
1,AL,35654,3244,114937,89360,4308
1,AL,35660,4153,142918,101376,6768
1,AL,35661,7576,389496,280488,11807
1,AL,35670,3173,146023,107666,3891
1,AL,35671,922,44764,31300,622
1,AL,35672,2597,108150,87283,1966
1,AL,35673,3414,157602,126428,3169
1,AL,35674,7691,332607,243688,11779
1,AL,35677,740,26763,21328,994
1,AL,35739,2054,90750,72661,2733
1,AL,35740,1387,53485,41483,650
1,AL,35741,1382,137053,94122,5715
1,AL,35744,929,33454,26188,774
1,AL,35746,337,11511,9724,269
1,AL,35747,2327,110079,81808,2963
1,AL,35748,2808,179160,131186,5052
1,AL,35749,10050,645216,536087,5674
1,AL,35750,5625,259254,210797,7017
1,AL,35752,878,33492,26563,677
1,AL,35754,2204,103456,72576,3011
1,AL,35755,239,9516,5971,241
1,AL,35756,5291,402760,339365,4604
1,AL,35757,6399,458413,375191,8347
1,AL,35758,20282,1657088,1290311,32868
1,AL,35759,3362,221519,163620,2152
1,AL,35760,2094,92000,70020,1788
1,AL,35761,4945,269753,217491,6257
1,AL,35763,6697,676142,512099,17824
1,AL,35764,249,9003,7085,300
1,AL,35765,1439,50080,40203,1144
1,AL,35768,5016,200361,145434,8591
1,AL,35769,4033,235326,145508,5826
1,AL,35771,1408,53246,42333,1819
1,AL,35772,1956,74245,60030,1082
1,AL,35773,5366,256850,208160,5736
1,AL,35775,292,10678,7722,240
1,AL,35776,1368,53254,41627,1381
1,AL,35801,10032,1021137,559727,38999
1,AL,35802,11061,868765,527364,27164
1,AL,35803,12713,889747,628216,17667
1,AL,35805,10509,257593,207546,9576
1,AL,35806,9520,646477,512926,8713
1,AL,35808,441,31584,27520,-89
1,AL,35810,14371,463809,351704,8139
1,AL,35811,12464,666721,512868,16166
1,AL,35816,6352,159548,125650,4211
1,AL,35824,3148,226728,190367,2896
1,AL,35901,7571,377794,247739,19642
1,AL,35903,7507,267059,206323,8317
1,AL,35904,5528,187528,143293,5490
1,AL,35905,2720,122164,94355,3179
1,AL,35906,4332,213631,150189,10017
1,AL,35907,3662,203326,156772,7914
1,AL,35950,9318,320462,247094,12538
1,AL,35951,4934,169597,132282,7480
1,AL,35952,2726,99533,79899,3568
1,AL,35953,2866,121195,92951,3887
1,AL,35954,4749,158790,125674,5176
1,AL,35956,3338,128978,100797,4823
1,AL,35957,6541,223395,181154,8189
1,AL,35958,1212,44119,35891,1522
1,AL,35959,1791,68818,47020,1826
1,AL,35960,3670,157543,108431,4641
1,AL,35961,2312,71173,58836,1495
1,AL,35962,2681,83220,69820,2193
1,AL,35963,606,19391,16044,490
1,AL,35966,1326,48758,39867,1657
1,AL,35967,6153,233392,172157,6755
1,AL,35968,2419,92766,67486,2859
1,AL,35971,1761,64155,50765,1716
1,AL,35972,473,19389,14513,592
1,AL,35973,1031,36544,28514,1273
1,AL,35974,723,24668,20378,776
1,AL,35975,365,13714,10900,235
1,AL,35976,6981,348931,228263,13119
1,AL,35978,2032,75361,55810,1830
1,AL,35979,544,18197,14801,882
1,AL,35980,1818,59256,46753,2179
1,AL,35981,778,28139,23132,413
1,AL,35983,1378,55254,43016,1195
1,AL,35984,749,31184,17485,773
1,AL,35986,3087,119802,93004,4507
1,AL,35987,981,40129,29824,1211
1,AL,35988,731,24458,19293,650
1,AL,35989,1194,47283,35166,1291
1,AL,36003,860,28872,23365,204
1,AL,36005,679,24737,19411,393
1,AL,36006,569,22404,17914,473
1,AL,36009,1036,43226,32702,621
1,AL,36010,2178,71820,55127,1423
1,AL,36013,193,13691,10662,-47
1,AL,36016,1304,43216,31462,994
1,AL,36017,695,20026,16352,408
1,AL,36020,558,19393,15643,328
1,AL,36022,5329,302642,231146,7074
1,AL,36024,2611,122065,85597,3547
1,AL,36025,1824,69054,54303,1681
1,AL,36026,449,23891,14125,418
1,AL,36027,6759,244175,182286,7134
1,AL,36028,649,23320,17840,711
1,AL,36029,388,18595,13514,406
1,AL,36030,204,6202,4959,49
1,AL,36032,1190,34825,27055,1854
1,AL,36033,1623,51033,40189,1220
1,AL,36034,321,11271,9662,341
1,AL,36035,796,30839,24231,312
1,AL,36036,877,29476,24475,599
1,AL,36037,5885,230603,156425,8954
1,AL,36039,111,3466,2692,0.0001
1,AL,36040,1991,48005,39852,992
1,AL,36041,578,20644,17646,232
1,AL,36042,554,20940,16468,469
1,AL,36043,1784,78297,58965,1709
1,AL,36046,602,23655,17959,431
1,AL,36047,696,22124,17483,589
1,AL,36048,571,20682,14921,291
1,AL,36049,2317,90084,69177,2034
1,AL,36051,902,34594,27218,716
1,AL,36052,382,32968,23841,808
1,AL,36053,921,25710,21103,500
1,AL,36054,7031,305971,246438,8213
1,AL,36064,3468,283197,204702,12749
1,AL,36066,8376,447393,340459,8389
1,AL,36067,11525,528524,413380,13667
1,AL,36069,888,36364,24972,828
1,AL,36071,371,11874,9561,110
1,AL,36075,945,30732,25084,62
1,AL,36078,5620,236317,188346,5493
1,AL,36079,3495,150224,118548,3278
1,AL,36080,985,51527,34742,1383
1,AL,36081,6154,238315,172104,7708
1,AL,36083,4158,120995,91859,5380
1,AL,36088,1376,32942,24876,931
1,AL,36089,3094,89515,70158,2019
1,AL,36091,1472,56370,45304,1564
1,AL,36092,9239,381467,293111,10131
1,AL,36093,4736,327804,235894,8452
1,AL,36104,3939,104733,78453,7275
1,AL,36105,6171,167457,131709,6441
1,AL,36106,7252,460463,291825,19377
1,AL,36107,4120,102096,84479,4104
1,AL,36108,10534,248633,190313,11718
1,AL,36109,12315,560576,384304,13710
1,AL,36110,6580,146064,116587,6002
1,AL,36111,6614,374746,226522,12401
1,AL,36113,338,17982,17670,0.0001
1,AL,36115,278,10999,10653,0.0001
1,AL,36116,21936,746019,606287,18183
1,AL,36117,22722,1452584,1039090,41123
1,AL,36201,6855,189334,153089,4871
1,AL,36203,8370,376846,295745,9050
1,AL,36205,308,15436,10815,24
1,AL,36206,4672,180187,133790,2555
1,AL,36207,8163,455528,305355,22824
1,AL,36250,2023,98319,77140,1968
1,AL,36251,2023,74151,58086,1571
1,AL,36255,330,13074,9986,278
1,AL,36256,660,24173,20255,524
1,AL,36258,631,24439,18440,578
1,AL,36260,1623,62374,49440,1061
1,AL,36262,519,17422,14345,483
1,AL,36263,313,11022,9114,223
1,AL,36264,3486,142505,111274,3751
1,AL,36265,7631,342944,250461,9893
1,AL,36266,2137,76169,56209,3226
1,AL,36268,2239,89707,68898,1575
1,AL,36269,435,15003,11991,598
1,AL,36271,2392,102035,79395,2454
1,AL,36272,4788,172227,132069,6212
1,AL,36273,1046,46056,36210,1481
1,AL,36274,4354,149571,120723,2461
1,AL,36276,867,29223,22516,958
1,AL,36277,2404,96424,74530,1416
1,AL,36278,1788,87404,54670,3218
1,AL,36279,1113,44689,35231,761
1,AL,36280,1518,57736,43569,2303
1,AL,36301,15477,595375,450701,18260
1,AL,36303,14243,667224,461515,25852
1,AL,36305,6646,474527,339096,16848
1,AL,36310,2553,96643,66217,2583
1,AL,36311,1039,41592,32645,1411
1,AL,36312,2496,109448,82977,2084
1,AL,36314,255,9126,7217,118
1,AL,36316,719,31782,24147,646
1,AL,36317,192,6661,5426,0.0001
1,AL,36318,481,20159,15221,274
1,AL,36319,941,41825,32813,800
1,AL,36320,1382,49953,40471,1072
1,AL,36321,735,26710,21487,339
1,AL,36322,3651,142682,109224,2802
1,AL,36323,3180,122501,88656,3210
1,AL,36330,14492,771752,556016,13772
1,AL,36340,2216,85174,63670,1814
1,AL,36343,618,21419,15345,595
1,AL,36344,2171,82358,60659,1920
1,AL,36345,3425,158135,124688,3926
1,AL,36346,527,22491,18067,402
1,AL,36350,2871,118738,93631,3704
1,AL,36351,1454,68621,51350,1191
1,AL,36352,2152,100955,77262,1565
1,AL,36353,849,33107,24620,987
1,AL,36360,8074,342797,252169,6493
1,AL,36362,1400,56178,54498,266
1,AL,36370,398,14572,11693,127
1,AL,36373,239,7705,6119,101
1,AL,36374,482,21840,16592,215
1,AL,36375,2889,107156,82945,3199
1,AL,36376,1014,34587,27713,495
1,AL,36401,3108,110282,77735,2313
1,AL,36420,4660,204278,146332,7205
1,AL,36421,3485,163718,120255,3493
1,AL,36425,390,11432,8532,172
1,AL,36426,5747,231273,170083,5026
1,AL,36432,1040,35275,27991,615
1,AL,36435,220,5943,4416,272
1,AL,36436,172,6901,5630,83
1,AL,36441,1454,58701,44035,1246
1,AL,36442,1160,40149,29126,1577
1,AL,36444,252,8524,7213,95
1,AL,36445,1596,58033,44786,1430
1,AL,36451,1948,88957,64883,1822
1,AL,36453,895,37141,28472,934
1,AL,36456,765,26727,21717,686
1,AL,36460,3274,141328,105883,2716
1,AL,36467,3965,148707,111449,6517
1,AL,36471,471,14291,11511,400
1,AL,36474,1133,42778,34770,392
1,AL,36475,773,29552,22067,970
1,AL,36477,1777,73243,49925,1575
1,AL,36480,722,31641,23401,400
1,AL,36481,144,3452,3034,0.0001
1,AL,36482,391,11154,8868,226
1,AL,36483,184,6547,4682,167
1,AL,36502,5976,217560,162083,6274
1,AL,36505,611,25962,21589,433
1,AL,36507,7752,326339,252067,8521
1,AL,36509,879,29038,19297,1728
1,AL,36511,493,15648,10895,935
1,AL,36518,1120,62342,45973,1852
1,AL,36521,2018,87003,71372,2049
1,AL,36522,2986,117188,93194,2648
1,AL,36523,1096,46094,31946,2649
1,AL,36524,439,15302,12198,311
1,AL,36525,885,36754,29549,1129
1,AL,36526,13562,842419,634203,24625
1,AL,36527,5469,436412,326733,10111
1,AL,36528,649,38039,21362,1583
1,AL,36529,240,9440,7762,146
1,AL,36530,2940,126732,80410,5602
1,AL,36532,12027,814682,501120,34655
1,AL,36535,11059,424496,269018,18594
1,AL,36538,154,5554,4356,111
1,AL,36539,260,11876,9878,142
1,AL,36540,361,10625,8332,521
1,AL,36541,5876,261215,208964,7300
1,AL,36542,5326,300825,144829,15740
1,AL,36544,4416,161306,130190,6799
1,AL,36545,3842,170351,125558,4757
1,AL,36548,529,24468,19793,169
1,AL,36549,2105,93093,43601,2604
1,AL,36551,3465,152758,119454,3978
1,AL,36553,1332,46278,38166,-85
1,AL,36555,608,37719,19988,1874
1,AL,36558,1339,61724,47891,1935
1,AL,36560,1423,43495,34727,986
1,AL,36561,3324,248643,121565,14081
1,AL,36562,688,25426,21322,332
1,AL,36567,5456,214165,164414,7083
1,AL,36569,336,15148,12157,296
1,AL,36571,6574,329758,255046,4963
1,AL,36572,3013,159972,127030,1727
1,AL,36574,538,23554,15665,642
1,AL,36575,8043,363112,294810,8211
1,AL,36576,1781,77062,59265,2453
1,AL,36578,795,36490,30054,809
1,AL,36579,779,32010,24501,406
1,AL,36580,2309,88939,60437,4139
1,AL,36582,10137,460839,323714,16515
1,AL,36583,255,12277,9718,152
1,AL,36584,273,10939,8630,199
1,AL,36585,415,17804,13581,276
1,AL,36587,4170,176425,137363,6401
1,AL,36602,505,28111,18248,2255
1,AL,36603,2801,67996,52575,3256
1,AL,36604,4281,201547,148686,8870
1,AL,36605,12667,373566,281555,19133
1,AL,36606,8723,326514,237683,11279
1,AL,36607,2920,143201,93857,4522
1,AL,36608,15567,1038710,671013,42192
1,AL,36609,10983,462813,345037,16589
1,AL,36610,5444,110545,86321,7325
1,AL,36611,2554,77827,60784,2270
1,AL,36612,1948,44854,36272,1709
1,AL,36613,5128,172957,137452,4008
1,AL,36617,6191,146061,106247,7316
1,AL,36618,7663,285478,229746,4626
1,AL,36619,6527,327613,240961,12760
1,AL,36693,8466,469524,312109,17092
1,AL,36695,20417,1233149,957011,36352
1,AL,36701,9881,360649,269485,12976
1,AL,36703,4967,138738,112709,3459
1,AL,36720,290,6222,4907,260
1,AL,36722,166,4610,3820,226
1,AL,36726,1902,69986,48739,2912
1,AL,36728,274,7592,5155,353
1,AL,36732,3723,158783,110947,5747
1,AL,36736,519,16819,13639,249
1,AL,36738,373,11038,8967,208
1,AL,36740,501,14424,11525,198
1,AL,36742,989,41536,30859,809
1,AL,36744,2654,105602,66675,1925
1,AL,36748,1334,55318,38646,1256
1,AL,36749,416,13442,11569,69
1,AL,36750,1192,47829,37661,1472
1,AL,36751,322,8102,6673,477
1,AL,36752,753,32761,23832,714
1,AL,36754,111,3919,3469,43
1,AL,36756,2276,74298,54411,2578
1,AL,36758,581,21434,17631,432
1,AL,36759,637,19476,15471,541
1,AL,36761,475,14159,10958,331
1,AL,36765,503,13355,10656,598
1,AL,36767,754,19374,15991,884
1,AL,36768,347,10395,7798,103
1,AL,36769,1084,34348,25250,1599
1,AL,36773,170,5432,3503,130
1,AL,36775,368,12388,9074,94
1,AL,36776,630,15854,13923,-150
1,AL,36782,849,34240,25769,781
1,AL,36783,315,12533,9008,285
1,AL,36784,3256,143697,104219,4170
1,AL,36785,553,16944,13526,239
1,AL,36786,1307,30951,25213,1293
1,AL,36790,112,4922,3928,99
1,AL,36792,460,18198,14123,603
1,AL,36793,216,8417,6469,72
1,AL,36801,9988,410814,301184,13927
1,AL,36804,7519,293994,231729,7851
1,AL,36830,14887,973103,680794,48244
1,AL,36832,7345,247814,204429,6746
1,AL,36850,1114,31351,24915,402
1,AL,36852,990,33858,27894,446
1,AL,36853,3365,165300,105144,5332
1,AL,36854,6747,239479,202417,-757
1,AL,36855,561,20998,15599,106
1,AL,36856,2348,101476,89828,-273
1,AL,36858,226,7699,6379,57
1,AL,36860,731,19620,16196,117
1,AL,36861,1303,65175,43654,2196
1,AL,36862,2573,82110,64216,1831
1,AL,36863,5526,179534,143158,-806
1,AL,36866,1672,57277,44961,1853
1,AL,36867,9749,361661,285114,11532
1,AL,36869,10460,303775,260191,4345
1,AL,36870,7441,304689,263658,4907
1,AL,36871,466,17032,13293,45
1,AL,36874,3386,151812,120592,4603
1,AL,36875,1953,77701,61133,1150
1,AL,36877,5086,228919,181789,4781
1,AL,36879,731,41236,32204,680
1,AL,36904,1737,80791,57380,2830
1,AL,36907,718,22017,16620,115
1,AL,36908,884,44061,33687,1220
1,AL,36912,769,22589,18076,251
1,AL,36915,196,8411,6714,78
1,AL,36916,272,10452,8377,18
1,AL,36919,752,28697,23043,439
1,AL,36921,436,19316,16088,234
1,AL,36922,228,7184,5352,79
1,AL,36925,1262,33900,26942,397
1,AL,99999,42231,2969394,1476651,73671
2,AK,0,366389,21839998,15566154,914153
2,AK,99501,9316,574759,363282,24555
2,AK,99502,12457,844757,617771,28924
2,AK,99503,8915,460612,320673,22879
2,AK,99504,20253,1045615,808477,28238
2,AK,99505,2081,69658,66226,71
2,AK,99506,2962,113800,108502,160
2,AK,99507,19642,1357944,1012532,47867
2,AK,99508,16779,797945,572769,32909
2,AK,99515,11719,924246,653360,34299
